1,2,2,2,4,2,3,4,4,2,6,2,4,6,4,2,7,2,6,6,4,2,8,4,4,6,6,2,10,2,5,6,4,6,10,2,4,6,8,2,10,2,6,10,4,2,10,4,7,6,6,2,10,6,8,6,4,2,14,2,4,10,6,6,10,2,6,6,10,2,13,2,4,10,6,6,10,2,10,8,4,2,14,6,4,6,8,2,16,6,6,6,4,6,12,2,7,10,10,2,10,2,8,14,4,2,14,2,10,6,10,2,10,6,6,10,4,6,18,4,4,6,6,6,16,2,7,6,10,2,14,6,4,14,8,2,10,2,14,6,4,6,16,6,4,10,6,2,16,2,8,10,10,6,14,2,4,6,12,6,13,2,6,14,4,2,18,4,10,10,6,2,10,10,10,6,4,2,22,2,10,6,8,6,10,6,6,14,10,2,14,2,4,14,10,2,16,2,13,6,4,6,14,6,4,10,10,6,22,2,6,6,4,6,18,6,4,6,14,6,10,2,12,16,4,2,14,2,10,14,8,2,16,6,6,6,10,2,22,2,7,10,6,10,10,6,8,6,10,2,22,6,4,14,8,2,10,6,14,10,4,2,18,6,10,6,6,2,22,2,10,14,4,10,14,2,4,10,18,2,10,2,6,14,10,6,19,4,10,6,6,2,16,6,8,14,4,6,22,6,4,6,10,6,16,2,14,6,10,2,18,2,4,22,6,2,10,6,14,6,10,6,18,10,4,6,8,6,22,2,6,10,4,6,22,2,7,6,14,6,16,6,8,14,4,2,14,2,16,14,12,2,10,6,6,14,4,2,28,4,4,10,14,6,10,2,10,10,10,6,14,2,10,14,8,6,22,2,14,6,4,2,16,14,4,10,6,2,22,6,13,6,4,6,22,2,4,14,16,2,10,6,6,18,10,6,18,2,10,6,6,6,16,6,12,6,10,2,30,2,4,10,8,10,10,6,6,14,10,2,22,2,10,14,6,6,10,2,18,16,10,2,14,6,4,6,14,2,25,6,6,6,4,14,18,2,4,14,14,2,22,2,10,14,4,2,22,6,10,6,8,6,10,10,14,10,4,2,26,6,4,14,10,6,16,2,8,6,16,2,14,6,10,22,10,6,10,2,14,6,4,2,28,6,10,10,6,2,22,6,9,
2,1,4,2,4,2,6,2,6,2,7,2,6,4,8,2,6,2,10,4,6,2,10,4,6,3,10,2,10,2,10,4,6,6,10,2,6,4,14,2,10,2,10,6,6,2,13,4,10,4,10,2,8,6,14,4,6,2,16,2,6,6,12,6,10,2,10,4,14,2,14,2,6,7,10,6,10,2,18,4,6,2,16,6,6,4,14,2,14,6,10,4,6,6,16,2,10,6,16,2,10,2,14,10,6,2,13,2,14,4,18,2,10,6,10,6,6,6,22,4,6,4,10,6,14,2,14,4,14,2,16,6,6,8,14,2,10,2,22,4,6,6,18,6,6,7,10,2,16,2,14,6,14,6,16,2,6,4,22,6,10,2,10,10,6,2,22,4,14,6,10,2,10,10,18,4,6,2,22,2,14,4,14,6,10,6,10,8,14,2,19,2,6,10,16,2,14,2,22,4,6,6,16,6,6,6,18,6,22,2,10,4,6,6,18,6,6,4,22,6,10,2,22,10,6,2,16,2,14,10,14,2,14,6,10,4,14,2,28,2,10,5,10,10,10,6,14,4,14,2,22,6,6,10,16,2,10,6,22,6,6,2,22,6,14,4,10,2,18,2,18,10,6,10,16,2,6,6,30,2,10,2,10,10,14,6,22,4,14,4,10,2,16,6,14,8,6,6,25,6,6,4,18,6,14,2,22,4,14,2,22,2,6,14,10,2,10,6,26,4,14,6,16,10,6,4,14,6,22,2,10,6,6,6,28,2,10,4,22,6,12,6,12,10,4,2,14,2,20,8,20,2,8,6,8,10,4,2,28,4,4,7,20,6,8,2,16,6,12,6,14,2,12,10,12,6,16,2,20,4,4,2,20,14,4,6,8,2,20,6,20,4,4,6,20,2,4,10,26,2,8,6,8,10,12,6,20,2,12,4,8,6,12,6,20,4,12,2,32,2,4,6,12,10,8,6,8,10,12,2,21,2,12,10,8,6,8,2,28,10,12,2,14,6,4,4,24,2,20,6,8,4,4,14,20,2,4,8,20,2,20,2,16,10,4,2,20,6,12,4,12,6,8,10,20,6,4,2,32,6,4,10,14,6,10,2,12,4,20,2,14,6,12,14,16,6,8,2,20,4,4,2,28,6,12,7,8,2,20,6,16,
2,4,3,4,6,4,4,7,6,4,8,4,6,10,5,4,10,4,8,10,6,4,10,7,6,10,8,4,14,4,6,10,6,10,13,4,6,10,10,4,14,4,8,16,6,4,12,7,10,10,8,4,14,10,10,10,6,4,18,4,6,16,7,10,14,4,8,10,14,4,16,4,6,16,8,10,14,4,12,13,6,4,18,10,6,10,10,4,22,10,8,10,6,10,14,4,10,16,13,4,14,4,10,22,6,4,18,4,14,10,12,4,14,10,8,16,6,10,22,7,6,10,8,10,22,4,8,10,14,4,18,10,6,22,10,4,14,4,18,10,6,10,19,10,6,16,8,4,22,4,10,16,14,10,18,4,6,10,14,10,18,4,8,22,6,4,22,7,14,16,8,4,14,16,12,10,6,4,28,4,14,10,10,10,14,10,8,22,14,4,16,4,6,22,13,4,22,4,16,10,6,10,18,10,6,16,12,10,30,4,8,10,6,10,22,10,6,10,18,10,14,4,14,25,6,4,18,4,14,22,10,4,22,10,8,10,14,4,26,4,10,16,8,16,14,10,10,10,14,4,28,10,6,22,9,2,12,8,16,14,4,2,20,8,12,8,6,2,28,2,10,20,4,14,16,2,4,14,20,2,12,2,6,20,12,8,20,5,12,8,6,2,20,8,8,20,4,8,26,8,4,8,10,8,20,2,16,8,12,2,20,2,4,32,6,2,12,8,14,8,12,8,21,14,4,8,8,8,28,2,6,14,4,8,24,2,8,8,16,8,20,8,8,20,4,2,16,2,20,20,12,2,12,8,6,20,4,2,32,5,4,14,16,8,12,2,10,14,12,8,16,2,12,20,8,8,28,2,16,8,4,2,16,20,4,12,6,2,26,8,14,6,4,8,24,2,4,18,17,2,10,8,6,24,12,8,18,2,12,6,6,8,18,8,12,6,12,2,34,2,4,12,8,14,10,8,6,18,12,2,22,2,12,18,6,8,10,2,20,21,12,2,14,8,4,6,14,2,30,8,6,6,4,20,18,2,4,18,16,2,26,2,10,18,4,2,24,8,12,6,8,8,10,14,16,12,4,2,26,8,4,18,11,8,18,2,8,6,20,2,14,8,12,30,10,8,10,2,16,6,4,2,30,8,12,12,6,2,26,8,8,
2,2,4,1,6,2,6,4,4,2,10,2,6,4,8,2,10,2,7,6,6,2,14,2,6,6,10,2,10,2,10,6,6,4,16,2,6,6,10,2,14,2,10,7,6,2,18,4,6,6,10,2,14,4,14,6,6,2,16,2,6,10,12,4,14,2,10,6,10,2,22,2,6,6,10,6,14,2,13,8,6,2,22,4,6,6,14,2,16,6,10,6,6,4,22,2,10,10,10,2,14,2,14,10,6,2,22,2,10,6,18,2,14,4,10,10,6,6,22,4,6,6,10,3,22,2,14,6,10,2,22,6,6,10,14,2,14,2,16,6,6,6,28,4,6,10,10,2,14,2,14,10,14,4,22,2,6,6,16,6,18,2,10,10,6,2,30,4,10,10,10,2,14,6,18,6,6,2,25,2,14,6,14,4,14,6,10,14,10,2,26,2,6,10,16,2,22,2,14,6,6,6,22,4,4,10,16,6,20,2,8,6,4,4,28,6,4,6,14,6,12,2,20,10,4,2,20,2,8,14,12,2,20,4,8,6,12,2,26,2,8,10,8,7,12,6,12,6,6,2,32,6,4,10,14,2,12,6,14,10,4,2,28,4,12,6,8,2,20,2,16,14,4,6,20,2,4,10,20,2,12,2,8,10,12,6,32,4,8,6,8,2,20,4,12,14,4,6,20,6,4,6,16,4,20,2,20,4,8,2,26,2,4,14,8,2,10,6,17,4,12,6,24,6,4,4,12,6,18,2,8,8,4,4,34,2,8,4,14,6,18,6,12,8,4,2,18,2,12,12,20,2,10,4,8,12,4,2,30,4,4,8,20,4,10,2,16,8,8,6,18,2,12,6,12,6,26,2,14,4,4,2,26,10,4,8,8,2,18,6,20,4,4,4,30,2,4,12,16,2,10,6,8,11,12,6,26,2,8,4,6,6,18,4,18,4,12,2,28,2,4,8,10,6,10,6,6,12,8,2,32,2,12,8,6,6,10,2,18,14,12,2,16,4,4,4,22,2,18,6,6,4,4,10,24,2,4,12,12,2,26,2,14,8,4,2,28,6,8,4,10,6,10,6,18,8,4,2,28,6,4,12,12,4,18,2,10,4,14,2,16,6,12,14,14,6,10,2,9,4,4,2,40,4,12,8,6,2,18,6,14,
4,4,6,6,7,6,8,6,10,6,10,6,10,10,10,6,10,6,14,10,10,6,13,10,10,8,14,6,16,6,12,10,10,14,14,6,10,10,18,6,16,6,14,14,10,6,16,10,16,10,14,6,13,14,18,10,10,6,22,6,10,14,14,14,16,6,14,10,22,6,18,6,10,16,14,14,16,6,22,10,10,6,22,14,10,10,18,6,22,14,14,10,10,14,19,6,16,14,22,6,16,6,18,22,10,6,18,6,22,10,22,6,16,14,14,14,10,14,28,10,10,10,14,14,22,6,16,10,22,6,22,14,10,18,18,6,16,6,30,10,10,14,22,14,10,16,14,6,25,6,18,14,22,14,22,6,10,10,26,14,16,6,14,22,10,6,28,10,22,12,12,4,14,20,20,8,8,4,28,4,20,8,16,12,14,12,12,16,20,4,20,4,8,20,20,4,20,4,26,8,8,12,20,12,8,12,20,12,32,4,12,8,8,12,21,12,8,8,28,12,14,4,24,20,8,4,20,4,20,20,16,4,20,12,12,8,20,4,32,4,14,10,12,20,14,12,16,8,20,4,28,12,8,20,16,2,12,10,26,10,6,2,24,10,18,6,10,2,24,2,18,18,6,18,18,2,6,10,34,2,12,2,10,18,18,10,22,6,18,6,10,2,21,10,14,14,6,10,30,10,6,6,18,10,18,2,26,6,18,2,24,2,6,26,10,2,12,10,26,6,18,10,18,18,6,6,14,10,30,2,10,10,6,10,30,2,12,6,26,10,16,10,12,18,4,2,16,2,28,14,20,2,10,10,8,18,4,2,32,6,4,12,24,10,10,2,16,10,16,10,16,2,16,18,12,10,22,2,24,6,4,2,19,26,4,10,8,2,28,10,22,6,4,10,24,2,4,18,28,2,10,10,8,18,16,10,22,2,16,6,8,10,16,10,20,6,16,2,40,2,4,10,12,18,10,10,8,18,14,2,22,2,16,16,8,10,10,2,30,18,16,2,16,8,4,6,24,2,26,10,8,6,4,24,22,2,4,14,22,2,28,2,16,16,4,2,24,10,14,6,12,10,10,16,24,10,4,2,32,10,4,18,16,8,13,2,12,6,26,2,16,10,16,24,16,10,10,2,22,6,4,2,32,8,16,12,8,2,26,10,14,
2,2,4,2,6,1,6,4,6,2,10,2,4,6,8,2,10,2,10,4,6,2,14,4,6,6,7,2,14,2,10,6,6,4,16,2,6,6,14,2,10,2,10,10,6,2,18,2,10,6,10,2,14,6,10,6,6,2,22,2,6,7,12,6,14,2,10,6,10,2,22,2,6,10,10,4,14,2,18,8,6,2,16,6,6,6,14,2,22,4,10,6,6,6,22,2,6,10,16,2,14,2,14,10,6,2,22,2,14,6,13,2,14,6,10,10,6,4,30,4,6,6,10,6,16,2,14,6,14,2,22,4,6,14,14,2,14,2,16,6,6,6,28,6,6,6,8,2,20,2,12,10,8,6,20,2,4,6,20,4,16,2,8,14,4,2,20,4,12,10,8,2,12,7,16,6,4,2,32,2,8,6,12,6,12,6,8,10,12,2,24,2,4,14,8,2,20,2,20,6,4,4,20,6,4,10,16,6,20,2,8,6,4,6,28,4,4,6,20,6,10,2,14,14,4,2,18,2,12,8,12,2,18,6,8,4,8,2,34,2,8,8,8,6,10,6,12,4,12,2,21,6,4,12,14,2,10,4,20,8,4,2,26,6,8,4,8,2,26,2,16,8,4,10,18,2,4,8,20,2,10,2,8,12,12,4,30,4,12,4,8,2,10,6,10,12,4,6,28,4,4,4,14,6,18,2,12,4,12,2,24,2,4,14,6,2,10,6,22,4,8,6,22,10,4,4,10,4,26,2,6,8,4,6,22,2,8,4,18,6,18,3,10,12,4,2,16,2,14,12,18,2,10,6,6,8,4,2,40,4,4,8,12,6,10,2,14,8,10,4,16,2,12,10,10,6,18,2,16,4,4,2,24,8,4,8,6,2,24,6,10,4,4,4,28,2,4,8,22,2,10,6,6,14,8,6,24,2,10,4,6,4,18,4,18,4,12,2,26,2,4,8,10,8,10,4,6,12,10,2,32,2,8,10,6,6,10,2,24,8,12,2,14,4,4,4,15,2,26,6,6,4,4,8,22,2,4,12,16,2,16,2,14,10,4,2,26,4,10,4,10,6,8,8,12,8,4,2,36,6,4,8,12,4,16,2,10,4,10,2,14,6,12,18,14,4,8,2,16,4,4,2,26,4,12,8,6,2,22,4,14,
3,6,4,6,8,6,5,10,8,6,10,6,8,14,6,6,13,6,10,14,8,6,12,10,8,14,10,6,18,6,7,14,8,14,16,6,8,14,12,6,18,6,10,22,8,6,14,10,13,14,10,6,18,14,12,14,8,6,22,6,8,22,8,14,18,6,10,14,18,6,19,6,8,22,10,14,18,6,14,18,8,6,22,14,8,14,12,6,28,14,10,14,8,14,16,6,13,22,16,6,18,6,12,30,8,6,22,6,18,14,14,6,18,14,10,22,8,14,26,10,8,14,10,14,28,6,9,12,16,4,20,12,6,28,10,4,16,4,20,12,6,12,20,12,6,20,8,4,26,4,10,20,16,12,20,4,6,12,14,12,21,4,8,28,6,4,24,8,16,20,8,4,16,20,12,12,6,4,32,4,16,12,10,12,16,12,8,28,16,4,16,4,6,26,14,4,24,4,17,10,6,12,18,12,6,18,12,12,34,4,8,10,6,12,22,12,6,10,20,12,14,4,14,30,6,4,18,4,16,26,10,4,24,12,8,10,16,4,26,4,11,18,8,20,14,12,10,10,16,4,30,12,6,26,8,2,12,10,18,16,4,2,20,10,14,8,6,2,32,2,10,24,4,18,16,2,4,16,22,2,12,2,6,24,14,10,19,6,14,8,6,2,22,10,8,24,4,10,28,10,4,8,10,10,22,2,18,8,14,2,20,2,4,40,6,2,12,10,14,8,14,10,22,16,4,8,8,10,30,2,6,16,4,8,24,2,9,8,16,10,22,10,8,22,4,2,16,2,22,24,12,2,12,8,6,24,4,2,32,6,4,16,18,8,12,2,10,16,12,10,16,2,14,22,8,10,32,2,16,8,4,2,14,24,4,14,6,2,28,10,15,6,4,8,26,2,4,22,16,2,10,10,6,28,14,10,18,2,12,6,6,10,20,8,12,6,14,2,36,2,4,14,8,16,10,10,6,22,12,2,22,2,14,20,6,10,10,2,20,26,14,2,14,8,4,6,14,2,33,10,6,6,4,22,18,2,4,22,16,2,28,2,10,20,4,2,26,8,12,6,8,10,10,16,16,14,4,2,24,10,4,20,12,8,20,2,8,6,20,2,14,10,14,36,10,8,10,2,16,6,4,2,30,8,14,14,6,2,28,8,7,
4,2,7,4,6,4,10,3,10,4,10,4,10,6,13,4,8,4,16,6,10,4,14,7,10,4,16,4,14,4,16,6,10,10,13,4,10,6,22,4,14,4,16,8,10,4,18,7,16,6,16,4,10,10,22,6,10,4,22,4,10,8,19,10,14,4,16,6,22,4,18,4,10,10,16,10,14,4,28,5,10,4,22,10,10,6,22,4,18,10,16,6,10,10,22,4,16,8,25,4,14,4,22,14,10,4,16,4,22,6,28,4,12,10,14,8,8,10,28,7,8,6,14,10,16,4,20,6,20,4,20,10,8,10,20,4,12,4,32,6,8,10,21,10,8,10,14,4,20,4,20,8,20,10,20,4,8,6,32,10,10,4,14,14,8,4,28,7,20,6,12,2,10,14,24,4,6,2,24,2,18,4,18,8,10,8,12,8,18,2,22,2,6,12,21,2,14,2,30,4,6,8,18,8,6,6,24,8,26,2,12,4,6,8,18,8,6,4,30,8,10,2,30,11,6,2,16,2,18,12,16,2,14,8,10,4,18,2,32,2,12,4,10,14,10,8,16,4,18,2,22,8,6,12,19,2,10,8,28,6,6,2,24,8,18,4,10,2,18,2,22,12,6,14,16,2,6,6,40,2,10,2,10,10,18,8,22,5,16,4,10,2,18,6,16,8,6,8,26,8,6,4,22,6,14,2,28,4,16,2,24,2,6,14,10,2,10,8,32,4,18,8,13,12,6,4,16,8,24,2,10,6,6,6,32,2,12,4,26,8,12,8,14,10,4,2,14,2,26,8,26,2,8,6,8,12,4,2,28,5,4,8,26,6,8,2,20,6,14,8,14,2,16,10,14,8,16,2,24,4,4,2,22,18,4,6,8,2,22,8,26,4,4,6,20,2,4,10,33,2,8,8,8,8,14,8,22,2,14,4,8,6,12,6,26,4,16,2,34,2,4,6,14,12,8,6,8,12,14,2,20,2,14,10,8,8,8,2,36,9,16,2,14,6,4,4,30,2,20,8,8,4,4,16,20,2,4,8,24,2,22,2,18,10,4,2,20,6,14,4,12,8,8,12,24,6,4,2,34,8,4,10,17,6,8,2,12,4,24,2,14,8,16,14,18,6,8,2,24,4,4,2,26,6,16,8,8,2,22,6,18,
4,6,6,4,10,6,8,10,7,6,14,6,10,10,10,6,16,6,10,14,10,6,18,6,10,14,14,6,16,6,12,14,10,10,22,6,10,14,13,6,22,6,14,16,10,6,22,10,10,14,14,6,22,10,18,14,10,6,22,6,10,22,14,10,22,6,14,14,16,6,28,6,10,14,14,14,22,6,16,18,10,6,30,10,10,14,18,6,25,14,14,14,10,10,26,6,16,22,14,6,22,4,16,20,8,4,28,4,14,12,20,4,20,8,12,20,8,12,26,8,8,12,12,6,32,4,14,12,14,4,28,12,8,20,16,4,20,4,20,12,8,12,32,8,8,20,12,4,20,4,16,20,20,8,26,4,8,10,17,12,24,4,12,18,8,4,34,8,14,18,12,4,18,12,20,10,8,4,30,4,20,10,16,8,18,12,12,26,14,4,26,4,8,18,20,4,30,4,16,10,8,12,26,8,6,18,18,12,28,4,10,10,6,8,32,12,6,10,18,12,16,4,22,18,6,4,24,4,12,26,14,4,28,8,10,10,18,4,28,4,12,18,10,14,16,12,14,10,9,4,40,12,6,18,14,2,14,10,16,16,4,2,30,6,16,8,8,2,26,2,16,24,4,10,22,2,4,16,22,2,14,2,8,16,16,10,32,6,10,8,8,2,26,6,12,24,4,10,22,10,4,8,16,6,26,2,24,6,10,2,28,2,4,26,8,2,12,10,16,6,16,10,28,10,4,6,12,10,24,2,8,14,4,6,36,2,10,6,16,10,24,10,12,14,4,2,20,2,16,22,20,2,12,6,8,22,4,2,33,6,4,14,22,6,12,2,16,14,10,8,20,2,16,10,12,10,34,2,16,6,4,2,24,16,4,14,8,2,24,10,20,6,4,6,36,2,4,20,16,2,12,10,8,20,14,10,28,2,10,6,6,8,24,6,18,6,16,2,32,2,4,14,10,10,12,8,6,22,10,2,34,2,14,14,6,10,12,2,20,24,16,2,18,6,4,6,20,2,24,10,6,6,4,16,26,2,4,22,14,2,34,2,14,14,4,2,32,8,10,6,10,10,12,10,20,12,4,2,28,10,4,20,14,6,22,2,10,6,17,2,18,10,16,24,14,8,12,2,10,6,4,2,42,6,16,14,6,2,24,8,12,
2,2,4,2,6,2,6,4,6,1,10,2,6,6,8,2,10,2,10,6,4,2,14,4,6,6,10,2,14,2,10,4,6,6,16,2,6,6,14,2,14,2,7,10,6,2,18,4,10,6,10,2,14,4,14,6,6,2,22,2,6,10,12,6,10,2,10,6,14,2,22,2,6,10,10,4,14,2,18,8,6,2,22,6,6,6,10,2,22,6,10,6,4,6,20,2,8,7,14,2,12,2,12,14,4,2,20,2,8,6,16,2,12,6,8,10,4,6,28,2,4,6,8,6,20,2,12,6,12,2,14,6,4,14,12,2,12,2,20,4,4,4,24,6,4,8,8,2,18,2,12,8,8,6,18,2,4,4,20,6,14,2,8,8,4,2,26,4,12,8,8,2,10,10,11,4,4,2,30,2,12,4,12,6,10,4,6,12,12,2,20,2,4,12,12,2,12,2,18,4,4,6,16,6,4,8,14,4,26,2,6,4,4,6,24,6,4,4,12,6,10,2,18,14,4,2,16,2,12,8,10,2,18,4,6,4,12,2,30,2,4,8,6,8,10,6,10,4,10,2,28,4,4,10,12,2,10,6,16,8,4,2,16,4,12,4,6,2,24,2,14,12,4,5,16,2,4,8,24,2,8,2,6,10,8,6,26,4,10,4,6,2,16,4,10,8,4,6,24,6,4,4,14,4,16,2,12,4,10,2,22,2,4,18,6,2,8,4,20,4,12,6,20,8,4,4,10,4,14,2,6,8,4,4,28,2,8,4,16,4,16,4,10,10,4,2,14,2,16,12,12,2,8,4,6,10,4,2,36,4,4,4,16,4,8,2,14,8,10,4,14,2,8,10,8,6,22,2,16,4,4,2,20,6,4,8,6,2,22,6,14,4,4,4,17,2,4,10,20,2,8,6,6,14,10,4,20,2,10,4,6,4,16,4,16,4,8,2,34,2,4,6,8,8,8,4,6,8,10,2,26,2,10,10,6,6,8,2,14,10,12,2,14,4,4,4,18,2,24,4,6,4,4,10,20,2,4,10,16,2,14,2,12,10,4,2,24,4,8,4,8,4,8,8,16,6,4,2,32,6,4,10,6,4,14,2,8,4,14,2,14,6,12,10,12,4,8,2,14,4,4,2,32,4,8,8,6,2,20,4,12,
